"","strategy","date","symbol","median"
"208","C.RP","2010","TLT",0.244105058691626
"209","C.RP","2010","USO",0.0209885961786726
"210","C.RP","2010","UUP",0.386550878307058
"211","C.RP","2011","EEM",0.024155061907099
"212","C.RP","2011","EFA",0.0247235582596227
"213","C.RP","2011","GLD",0.226562477839687
"214","C.RP","2011","IWM",0.0238817311814255
"215","C.RP","2011","IYR",0.0264878404070283
"216","C.RP","2011","QQQ",0.0311584174683695
"217","C.RP","2011","SPY",0.0346116618217524
"218","C.RP","2011","TLT",0.214543307018649
"219","C.RP","2011","USO",0.0198350320102255
"220","C.RP","2011","UUP",0.380141976127233
"221","C.RP","2012","EEM",0.0271346587466941
"222","C.RP","2012","EFA",0.0295673735586218
"223","C.RP","2012","GLD",0.262302009840171
"224","C.RP","2012","IWM",0.0280494376741688
"225","C.RP","2012","IYR",0.0319427394639126
"226","C.RP","2012","QQQ",0.0380577738095488
"227","C.RP","2012","SPY",0.0387387538287328
"228","C.RP","2012","TLT",0.156794780755333
"229","C.RP","2012","USO",0.0278648940362846
"230","C.RP","2012","UUP",0.35593370425744
"231","C.RP","2013","EEM",0.0249783291120232
"232","C.RP","2013","EFA",0.0270433648757565
"233","C.RP","2013","GLD",0.161087850502104
"234","C.RP","2013","IWM",0.0288713209397784
"235","C.RP","2013","IYR",0.0365300980775755
"236","C.RP","2013","QQQ",0.0303046361656772
"237","C.RP","2013","SPY",0.0359514650529644
"238","C.RP","2013","TLT",0.199046272851329
"239","C.RP","2013","USO",0.0183817971395982
"240","C.RP","2013","UUP",0.424163275976772
